machineId,lat,lng,boo,foo,location,total
ZPL3000260,29.5319887,-98.5623707,-21600,3600,America/Chicago,36464413
ZPL300962J,40.0001359,-105.2627299,-25200,3600,America/Denver,47211790
ZPL300972C,39.62692,-104.895178,-25200,3600,America/Denver,29989348
ZPL300975X,39.698121,-105.3295919,-25200,3600,America/Denver,42161783
ZPL300979D,34.96313,-89.991956,-21600,3600,America/Chicago,44503731
ZPL300980F,39.5953875,-104.9023706,-25200,3600,America/Denver,38694555
ZPL300992Y,44.215415,-70.519752,-18000,3600,America/New_York,28525290
ZPL300993T,39.951421,-83.1461897,-18000,3600,America/New_York,32429942
ZPL3009979,40.337657,-79.8084096,-18000,3600,America/New_York,18269359
ZPL3009984,27.7990673,-82.3349682,-18000,3600,America/New_York,16780580
ZPL301001M,40.400323,-80.024316,-18000,3600,America/New_York,24144760
ZPL301002H,34.143383,-83.956095,-18000,3600,America/New_York,9810986
ZPL301003C,38.955077,-76.827758,-18000,3600,America/New_York,19816796
ZPL3010052,39.765757,-105.142055,-25200,3600,America/Denver,31516898
ZPL301008N,36.785401,-76.10769,-18000,3600,America/New_York,33485921
ZPL301010K,39.0509379,-95.6795166,-21600,3600,America/Chicago,17515655
ZPL301011F,28.2822925,-81.3486663,-18000,3600,America/New_York,32490101
ZPL301012A,40.400323,-80.024316,-18000,3600,America/New_York,15112253
ZPL3010140,38.79537,-90.620665,-21600,3600,America/Chicago,29455298
ZPL301015V,37.1242729,-76.3918459,-18000,3600,America/New_York,25447327
ZPL301017L,37.130116,-76.537625,-18000,3600,America/New_York,14477675
ZPL301018G,37.130116,-76.537625,-18000,3600,America/New_York,20808207
ZPL301020D,39.7630541,-105.1399892,-25200,3600,America/Denver,45557923
ZPL3010218,36.120825,-97.064784,-21600,3600,America/Chicago,54067757
ZPL3010223,36.0685908,-79.2702184,-18000,3600,America/New_York,20458884
ZPL301023Y,38.9426612,-76.7334685,-18000,3600,America/New_York,40622105
ZPL301024T,36.785401,-76.10769,-18000,3600,America/New_York,21794089
ZPL301026J,39.6955231,-104.940094,-25200,3600,America/Denver,43024382
ZPL3010377,38.9081521,-104.7821555,-25200,3600,America/Denver,30293503
ZPL301044F,42.641428,-82.974484,-18000,3600,America/New_York,31848390
ZPL301052I,38.7444208,-90.5923909,-21600,3600,America/Chicago,33510389
ZPL3010548,39.7502297,-104.9988056,-25200,3600,America/Denver,43998206
ZPL3010641,33.6890488,-84.3739329,-18000,3600,America/New_York,23081461
ZPL301065W,33.7627423,-84.3926638,-18000,3600,America/New_York,39778418
ZPL301074U,38.917968,-90.1629942,-21600,3600,America/Chicago,18569095
ZPL301075P,28.3457801,-81.4197566,-18000,3600,America/New_York,77454357
ZPL301077F,39.1466306,-84.404731,-18000,3600,America/New_York,37005922
ZPL301078A,26.189221,-80.097183,-18000,3600,America/New_York,35406333
ZPL3010795,39.5640727,-105.1079189,-25200,3600,America/Denver,41296904
ZPL3010807,33.577083,-101.946481,-21600,3600,America/Chicago,60920729
ZPL301082X,42.563403,-83.086025,-18000,3600,America/New_York,29003717
ZPL301085I,37.3805911,-89.6504519,-21600,3600,America/Chicago,31078038
ZPL301089Y,42.474711,-70.957572,-18000,3600,America/New_York,39471955
ZPL3010900,39.8819024,-75.5294695,-18000,3600,America/New_York,43249420
ZPL301091V,38.6785584,-90.2587709,-21600,3600,America/Chicago,25226833
ZPL301092Q,42.0120378,-87.7213946,-21600,3600,America/Chicago,43515224
ZPL301093L,40.1471235,-82.9212389,-18000,3600,America/New_York,30396709
ZPL301094G,38.7847063,-77.0161381,-18000,3600,America/New_York,53181917
ZPL301095B,37.297461,-76.726035,-18000,3600,America/New_York,37181356
ZPL3010966,40.337657,-79.8084096,-18000,3600,America/New_York,25493596
ZPL3010971,41.8981279,-87.6239006,-21600,3600,America/Chicago,48737867
ZPL301098W,42.0120378,-87.7213946,-21600,3600,America/Chicago,32580833
ZPL301099R,37.1334073,-94.4751489,-21600,3600,America/Chicago,34885401
ZPL301100E,39.30684,-84.487168,-18000,3600,America/New_York,33054604
ZPL3011024,37.3805911,-89.6504519,-21600,3600,America/Chicago,40214270
ZPL301103Z,40.7624826,-73.9836523,-18000,3600,America/New_York,4700542
ZPL301106K,33.6342039,-84.292277,-18000,3600,America/New_York,29343549
ZPL3011107,37.0722049,-94.477103,-21600,3600,America/Chicago,52216980
ZPL3011112,42.2693995,-71.0237491,-18000,3600,America/New_York,42637314
ZPL301112X,32.536202,-93.770538,-21600,3600,America/Chicago,25469540
ZPL302687L,33.95211,-83.9879374,-18000,3600,America/New_York,44056432
ZPL302690D,33.907491,-84.358892,-18000,3600,America/New_York,24522294
ZPL3026918,33.7526245,-84.4671251,-18000,3600,America/New_York,31491199
ZPL3026923,33.884265,-84.514944,-18000,3600,America/New_York,34706042
ZPL302693Y,33.6277856,-117.7161983,-28800,3600,America/Los_Angeles,26147792
ZPL302694T,33.882751,-84.477274,-18000,3600,America/New_York,26788325
ZPL302697E,33.945546,-84.624745,-18000,3600,America/New_York,25205065
ZPL302700R,33.6277856,-117.7161983,-28800,3600,America/Los_Angeles,19438258
ZPL302706X,33.9191386,-84.3796418,-18000,3600,America/New_York,21595858
ZPL302711F,33.7816013,-84.4050155,-18000,3600,America/New_York,57811682
ZPL302716Q,33.9262618,-84.3790809,-18000,3600,America/New_York,17913221
ZPL302718G,33.9262618,-84.3790809,-18000,3600,America/New_York,10537662
ZPL302719B,33.9191386,-84.3796418,-18000,3600,America/New_York,14867789
