machineId,lat,lng,coke,sprite,fanta
ZPL300962J,40.0001359,-105.2627299,21453.0,5403.0,3742.0
ZPL300972C,39.62692,-104.895178,6477.0,5721.0,4543.0
ZPL300975X,39.698121,-105.3295919,11437.0,8123.0,7225.0
ZPL300979D,34.96313,-89.991956,30245.0,19226.0,8169.0
ZPL300980F,39.5953875,-104.9023706,10254.0,5877.0,2500.0
ZPL300992Y,44.215415,-70.519752,24971.0,9586.0,6047.0
ZPL300993T,39.951421,-83.1461897,16189.0,7784.0,6336.0
ZPL3009979,40.337657,-79.8084096,9732.0,2745.0,1065.0
ZPL3009984,27.7990673,-82.3349682,307.0,5956.0,2319.0
ZPL301001M,40.400323,-80.024316,8155.0,7793.0,4797.0
ZPL301002H,34.143383,-83.956095,1762.0,2243.0,1417.0
ZPL301003C,38.955077,-76.827758,4938.0,5801.0,5512.0
ZPL3010052,39.765757,-105.142055,14287.0,7510.0,2823.0
ZPL301008N,36.785401,-76.10769,10414.0,7384.0,7294.0
ZPL301010K,39.0509379,-95.6795166,0,0,1754.0
ZPL301011F,28.2822925,-81.3486663,21339.0,5758.0,228.0
ZPL301012A,40.400323,-80.024316,4104.0,3497.0,1944.0
ZPL3010140,38.79537,-90.620665,14886.0,5816.0,4070.0
ZPL301015V,37.1242729,-76.3918459,10986.0,5015.0,3383.0
ZPL301017L,37.130116,-76.537625,2662.0,1996.0,1031.0
ZPL301018G,37.130116,-76.537625,4999.0,6426.0,3589.0
ZPL301020D,39.7630541,-105.1399892,7801.0,7675.0,7143.0
ZPL3010218,36.120825,-97.064784,11465.0,4262.0,3418.0
ZPL3010223,36.0685908,-79.2702184,8512.0,6183.0,6073.0
ZPL301023Y,38.9426612,-76.7334685,7404.0,10748.0,9674.0
ZPL301024T,36.785401,-76.10769,5151.0,6163.0,2352.0
ZPL301026J,39.6955231,-104.940094,16188.0,11404.0,5208.0
ZPL3010377,38.9081521,-104.7821555,5657.0,2512.0,4180.0
ZPL301044F,42.641428,-82.974484,15062.0,9194.0,1388.0
ZPL301052I,38.7444208,-90.5923909,10706.0,9732.0,4112.0
ZPL3010548,39.7502297,-104.9988056,11419.0,9277.0,60.0
ZPL3010641,33.6890488,-84.3739329,8251.0,8736.0,4190.0
ZPL301065W,33.7627423,-84.3926638,8019.0,6710.0,6114.0
ZPL301074U,38.917968,-90.1629942,4503.0,1695.0,5688.0
ZPL301075P,28.3457801,-81.4197566,80023.0,49510.0,22464.0
ZPL301077F,39.1466306,-84.404731,10132.0,3958.0,4001.0
ZPL301078A,26.189221,-80.097183,18998.0,7916.0,9155.0
ZPL3010795,39.5640727,-105.1079189,12690.0,10001.0,2802.0
ZPL3010807,33.577083,-101.946481,12380.0,13336.0,9224.0
ZPL301082X,42.563403,-83.086025,17943.0,10143.0,7446.0
ZPL301085I,37.3805911,-89.6504519,13221.0,4517.0,5604.0
ZPL301089Y,42.474711,-70.957572,38611.0,20130.0,14859.0
ZPL3010900,39.8819024,-75.5294695,13687.0,6904.0,5109.0
ZPL301091V,38.6785584,-90.2587709,5769.0,27312.0,590.0
ZPL301092Q,42.0120378,-87.7213946,40044.0,12071.0,3601.0
ZPL301093L,40.1471235,-82.9212389,13057.0,3828.0,1996.0
ZPL301094G,38.7847063,-77.0161381,25339.0,21244.0,25166.0
ZPL301095B,37.297461,-76.726035,32172.0,9170.0,14839.0
ZPL3010966,40.337657,-79.8084096,8310.0,6471.0,2560.0
ZPL3010971,41.8981279,-87.6239006,8800.0,8329.0,7781.0
ZPL301098W,42.0120378,-87.7213946,26165.0,9661.0,12454.0
ZPL301099R,37.1334073,-94.4751489,13599.0,6263.0,3657.0
ZPL301100E,39.30684,-84.487168,28530.0,10744.0,6088.0
ZPL3011024,37.3805911,-89.6504519,20225.0,5999.0,2106.0
ZPL301103Z,40.7624826,-73.9836523,3065.0,2657.0,1434.0
ZPL301106K,33.6342039,-84.292277,16411.0,14315.0,11131.0
ZPL3011107,37.0722049,-94.477103,19665.0,6019.0,9926.0
ZPL3011112,42.2693995,-71.0237491,21032.0,12963.0,15249.0
ZPL301112X,32.536202,-93.770538,3430.0,6854.0,4054.0
ZPL302687L,33.95211,-83.9879374,26501.0,19369.0,13784.0
ZPL302690D,33.907491,-84.358892,3936.0,1801.0,62.0
ZPL3026918,33.7526245,-84.4671251,12196.0,10601.0,12005.0
ZPL3026923,33.884265,-84.514944,7074.0,3085.0,6300.0
ZPL302693Y,33.6277856,-117.7161983,15976.0,10747.0,1275.0
ZPL302694T,33.882751,-84.477274,19217.0,6702.0,11877.0
ZPL302697E,33.945546,-84.624745,16102.0,1992.0,6550.0
ZPL302700R,33.6277856,-117.7161983,9762.0,6826.0,4952.0
ZPL302706X,33.9191386,-84.3796418,13676.0,6260.0,7867.0
ZPL302711F,33.7816013,-84.4050155,8959.0,8619.0,9721.0
ZPL302716Q,33.9262618,-84.3790809,5305.0,1811.0,1809.0
ZPL302718G,33.9262618,-84.3790809,1578.0,0,2559.0
ZPL302719B,33.9191386,-84.3796418,7870.0,510.0,6463.0
ZPL3027218,33.8798535,-84.4619992,8165.0,5172.0,4909.0
ZPL3027223,33.8149967,-84.3913456,8397.0,9514.0,8605.0
ZPL302726J,34.0011248,-84.0823039,3382.0,1739.0,787.0
ZPL302727E,33.993509,-117.913238,24904.0,5768.0,11175.0
ZPL3027306,40.5817926,-111.8907444,22899.0,29080.0,17985.0
ZPL302734M,40.5817926,-111.8907444,23309.0,39958.0,21701.0
ZPL3027382,33.6716059,-117.8349281,12658.0,15646.0,14184.0
ZPL302740Z,32.6808652,-97.416246,8316.0,5965.0,3686.0
ZPL302742P,33.8225943,-84.3705695,3417.0,2459.0,1413.0
ZPL302743K,32.5926342,-97.1642075,5417.0,6089.0,5870.0
ZPL302744F,32.67516,-97.035212,4783.0,9695.0,7154.0
ZPL3027465,34.0011248,-84.0823039,9683.0,757.0,4851.0
ZPL3027470,32.6607237,-97.2785574,5398.0,3865.0,5692.0
ZPL302749Q,34.0920606,-84.2766777,5771.0,2968.0,2359.0
ZPL302751N,33.8225943,-84.3705695,7810.0,6370.0,248.0
ZPL3027553,34.1749755,-119.2260831,40353.0,26095.0,27157.0
ZPL3027641,34.1749755,-119.2260831,36697.0,34616.0,21887.0
ZPL3027724,33.789101,-117.9078643,62031.0,13118.0,24137.0
ZPL3027812,34.859066,-82.266932,5446.0,6701.0,5326.0
ZPL3027883,33.50511,-84.23589,16056.0,17984.0,14604.0
ZPL302792Q,32.6636384,-97.1333456,8136.0,9237.0,5963.0
ZPL3027966,30.4728006,-87.2086632,8223.0,5845.0,2362.0
ZPL302800E,33.8418272,-84.5055954,9688.0,7829.0,8819.0
ZPL3028024,29.6251194,-82.3781642,19938.0,8280.0,943.0
ZPL302803Z,28.597286,-81.211373,9561.0,5462.0,3838.0
ZPL302805P,30.1658791,-81.7457704,14261.0,8107.0,4012.0
ZPL302806K,34.0129562,-117.3393709,25400.0,7024.0,8878.0
ZPL302807F,33.5053668,-117.1504494,22841.0,13118.0,7171.0
ZPL3028107,33.813242,-117.9193783,5619.0,5258.0,910.0
ZPL3028112,30.260578,-81.526718,12039.0,16594.0,7378.0
ZPL302812X,33.6293405,-117.7251433,10086.0,4600.0,3719.0
ZPL302814N,33.858455,-118.0277352,10720.0,4396.0,3516.0
ZPL3028178,33.6293405,-117.7251433,10713.0,3730.0,2831.0
ZPL302819Y,41.888384,-87.80321,3630.0,3994.0,3107.0
ZPL3028200,30.059389,-81.514056,3352.0,9177.0,4030.0
ZPL302822Q,33.8324511,-117.8358741,13218.0,2979.0,7278.0
ZPL302823L,34.2551322,-84.4817069,16054.0,8134.0,6748.0
ZPL302825B,30.4299047,-81.661264,12363.0,5295.0,7804.0
ZPL3028266,30.6401065,-81.4584492,12374.0,10463.0,6029.0
ZPL302828W,30.1652645,-81.602908,25149.0,6831.0,9316.0
ZPL302832J,41.7711619,-88.147592,12306.0,4918.0,7502.0
ZPL302833E,41.925232,-87.640598,15004.0,10354.0,6683.0
ZPL3028354,30.342087,-81.712424,2812.0,987.0,3576.0
ZPL302836Z,30.254608,-81.3897417,15239.0,5130.0,3807.0
ZPL302841H,41.7711619,-88.147592,8713.0,6345.0,10069.0
ZPL302842C,41.6027926,-87.8528037,7673.0,6378.0,4327.0
ZPL3028437,29.65243,-82.3410169,11597.0,2019.0,8371.0
ZPL302850F,33.9474826,-84.3354066,5143.0,2927.0,8534.0
ZPL302851A,30.1610063,-97.7905902,8939.0,221.0,9239.0
ZPL3028525,42.0803828,-87.7561735,4671.0,1507.0,2965.0
ZPL302858B,42.0803828,-87.7561735,4896.0,2910.0,3834.0
ZPL3028608,38.7675976,-77.4848603,30012.0,9525.0,8757.0
ZPL3028613,32.5458711,-84.9459212,21687.0,11450.0,11064.0
ZPL302862Y,30.263526,-97.75804,8859.0,13475.0,5564.0
ZPL302865J,30.3179121,-81.5578799,12620.0,6783.0,10019.0
ZPL302866E,36.0549288,-115.1691493,33770.0,17946.0,14025.0
ZPL3028679,35.3835684,-119.1227809,9243.0,3893.0,3705.0
ZPL302871W,41.925232,-87.640598,7559.0,6352.0,2829.0
ZPL302874H,36.961204,-122.0436395,16235.0,16440.0,8127.0
ZPL302875C,34.0489028,-84.310892,232.0,265.0,402.0
ZPL3028767,30.264441,-81.556111,8267.0,5134.0,5395.0
ZPL302878X,30.187205,-81.7394675,7384.0,12673.0,6927.0
ZPL302888Q,39.1426256,-121.6470052,16320.0,10187.0,10520.0
ZPL302892D,30.0415272,-95.6053728,25301.0,18556.0,13719.0
ZPL3028938,41.888384,-87.80321,5155.0,4724.0,3519.0
ZPL3028943,38.4231487,-121.4155059,5477.0,17838.0,7048.0
ZPL302895Y,33.693028,-84.094447,8941.0,13452.0,9899.0
ZPL302896T,35.3344124,-119.0767608,2206.0,1275.0,1431.0
ZPL302898J,33.379618,-111.757045,15504.0,7358.0,3729.0
ZPL302899E,30.120009,-81.624079,13408.0,5399.0,3925.0
ZPL3029001,41.6027926,-87.8528037,10861.0,9717.0,8155.0
ZPL302901W,35.3344124,-119.0767608,23804.0,11674.0,3740.0
ZPL302903M,30.263526,-97.75804,10657.0,6562.0,6417.0
ZPL302904H,34.6975688,-118.1433966,4261.0,5363.0,2554.0
ZPL302905C,30.400269,-97.7041533,6619.0,2824.0,3344.0
ZPL302908X,30.2818735,-97.7419635,5846.0,2656.0,10204.0
ZPL302911P,33.9815169,-84.0791845,64474.0,47872.0,25611.0
ZPL302913F,30.382951,-97.723594,14327.0,11364.0,9437.0
ZPL302914A,30.0222912,-90.2390285,15741.0,11763.0,7296.0
ZPL3029155,37.340291,-121.903782,16638.0,12988.0,9568.0
ZPL3029160,32.9131435,-97.3142641,4931.0,5955.0,1877.0
ZPL302918Q,33.9815169,-84.0791845,63608.0,53016.0,48521.0
ZPL302919L,35.139208,-80.9222255,3251.0,2472.0,2858.0
ZPL302920N,33.9815169,-84.0791845,97306.0,57978.0,25296.0
ZPL302922D,33.9815169,-84.0791845,73032.0,45014.0,24969.0
ZPL3029238,33.0478802,-117.2608339,11066.0,3052.0,413.0
ZPL3029243,30.4447438,-97.7864275,7442.0,5351.0,5895.0
ZPL302925Y,47.6422673,-122.1263574,0,1006.0,3473.0
ZPL302926T,34.1382835,-118.3533173,66.0,44179.0,15730.0
ZPL302928J,33.9815169,-84.0791845,32918.0,34228.0,28625.0
ZPL302930G,30.736467,-86.5654477,10027.0,8694.0,7522.0
ZPL302935R,38.8227128,-77.1608778,15434.0,10749.0,5605.0
ZPL302936M,30.5231309,-97.8270261,8750.0,2971.0,3159.0
ZPL302937H,36.3176172,-95.6282862,10933.0,3413.0,4285.0
ZPL302938C,33.1877625,-85.0261394,16968.0,10358.0,4708.0
ZPL3029397,38.7718433,-77.1352643,14846.0,8712.0,8301.0
ZPL3029409,41.4915974,-72.0914563,38.0,0,0
ZPL3029414,30.320185,-81.467713,15492.0,7361.0,7137.0
ZPL302942Z,30.2611477,-97.758007,19468.0,6372.0,14709.0
ZPL302944P,32.7484882,-117.1587211,4045.0,1925.0,2155.0
ZPL302945K,30.284544,-81.729768,10295.0,7014.0,4181.0
ZPL302946F,30.3558297,-97.7306381,8990.0,2935.0,3936.0
ZPL302947A,33.4780567,-111.9865351,9657.0,3599.0,8265.0
ZPL3029485,33.649389,-83.9961,46569.0,36792.0,23994.0
ZPL302951X,33.5217823,-117.1572946,30063.0,25809.0,16450.0
ZPL302953N,38.7498634,-77.0834951,11418.0,8699.0,4603.0
ZPL302955D,35.225378,-80.841961,12387.0,5415.0,2901.0
ZPL3029573,30.1621945,-97.789147,15981.0,14898.0,61.0
ZPL302958Y,33.1835238,-117.3286792,7342.0,957.0,4026.0
ZPL302959T,30.0415272,-95.6053728,13196.0,16340.0,12226.0
ZPL302961Q,29.281626,-81.066997,17312.0,11617.0,4648.0
ZPL302962L,34.1074348,-117.6319753,14618.0,9975.0,8535.0
ZPL302964B,30.475822,-84.297597,14480.0,9906.0,3278.0
ZPL3029656,33.4475173,-112.0742715,14340.0,10880.0,10590.0
ZPL302967W,33.9238693,-117.9683676,15894.0,9326.0,8873.0
ZPL302969M,26.3425762,-81.8085308,37055.0,17861.0,17120.0
ZPL302972E,32.7484882,-117.1587211,11802.0,4371.0,7417.0
ZPL3029739,33.6654805,-112.2018754,14686.0,10283.0,10508.0
ZPL3029744,34.047904,-117.3110906,10433.0,6321.0,2485.0
ZPL302975Z,33.834574,-117.838403,13097.0,7785.0,4232.0
ZPL302977P,33.565089,-85.075406,11354.0,5131.0,5567.0
ZPL302979F,40.6256498,-111.8518763,1576.0,4694.0,7066.0
ZPL302981C,33.1919929,-117.273971,3726.0,4359.0,5906.0
ZPL3029832,32.337568,-86.1800559,7268.0,8598.0,11653.0
ZPL302984X,30.235344,-81.694794,7187.0,6616.0,8477.0
ZPL302986N,30.3231932,-81.3979231,8060.0,10034.0,5994.0
