machineId,lat,lng,offset,hrs,location,total,ww
ZMC913968L,29.6716995,-95.7487136,-21600,3600,America/Chicago,0.4,0
ZMC9139887,29.6716995,-95.7487136,-21600,3600,America/Chicago,0.7,0
ZMC913995F,29.6716995,-95.7487136,-21600,3600,America/Chicago,0.1,0
ZPL000136D,39.246845,-84.3828039,-18000,3600,America/New_York,0.1,0
ZPL0001400,33.6774374,-117.838706,-28800,3600,America/Los_Angeles,0.4,0
ZPL3000260,29.5319887,-98.5623707,-21600,3600,America/Chicago,0.6,0
ZPL300029L,32.7092967,-97.3651752,-21600,3600,America/Chicago,0.6,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.1,0
ZMC9139888,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.6,0
ZPL000136D,39.2452596,-84.3831749,-18000,3600,America/New_York,0.4,0
ZPL0001401,33.678158,-117.838154,-28800,3600,America/Los_Angeles,0.1,0
ZPL3000261,29.5319847,-98.5623665,-21600,3600,America/Chicago,0.7,0
ZPL300029L,32.7111113,-97.3654325,-21600,3600,America/Chicago,0.5,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.2,0
ZMC9139889,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.1,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.6,0
ZPL000136D,39.2460265,-84.3825686,-18000,3600,America/New_York,0.1,0
ZPL0001402,33.676499,-117.837379,-28800,3600,America/Los_Angeles,0.4,0
ZPL3000262,29.5319807,-98.5623623,-21600,3600,America/Chicago,0.1,0
ZPL300029L,32.7092556,-97.3651696,-21600,3600,America/Chicago,0.8,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.8,0
ZMC9139890,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.4,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZPL000136D,39.245314,-84.3831593,-18000,3600,America/New_York,0.3,0
ZPL0001403,33.6772888,-117.838045,-28800,3600,America/Los_Angeles,0.7,0
ZPL3000263,29.5319767,-98.5623581,-21600,3600,America/Chicago,0.8,0
ZPL300029L,32.7111098,-97.3654323,-21600,3600,America/Chicago,0.4,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZMC9139891,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.4,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.5,0
ZPL000136D,39.2460289,-84.3825537,-18000,3600,America/New_York,0.3,0
ZPL0001404,33.677107,-117.8377887,-28800,3600,America/Los_Angeles,0.4,0
ZPL3000264,29.5319726,-98.5623538,-21600,3600,America/Chicago,0.3,0
ZPL300029L,32.7092145,-97.365164,-21600,3600,America/Chicago,0.1,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZMC9139892,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.1,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.8,0
ZPL000136D,39.2453674,-84.3831481,-18000,3600,America/New_York,0.4,0
ZPL0001405,33.6772776,-117.8380367,-28800,3600,America/Los_Angeles,0.3,0
ZPL3000265,29.5319686,-98.5623496,-21600,3600,America/Chicago,0.9,0
ZPL300029L,32.7111083,-97.3654322,-21600,3600,America/Chicago,0.9,0
ZMC913968L,29.6979407,-95.7184728,-21600,3600,America/Chicago,0.0,0
ZMC9139893,29.6979407,-95.7184728,-21600,3600,America/Chicago,0.0,0
ZMC913995F,29.6979407,-95.7184728,-21600,3600,America/Chicago,0.2,0
ZPL000136D,39.2460313,-84.3825388,-18000,3600,America/New_York,0.8,0
ZPL0001406,33.6771102,-117.837782,-28800,3600,America/Los_Angeles,0.1,0
ZPL3000266,29.5319646,-98.5623454,-21600,3600,America/Chicago,0.2,0
ZPL300029L,32.7091734,-97.3651585,-21600,3600,America/Chicago,0.4,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.4,0
ZMC9139894,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.1,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.6,0
ZPL000136D,39.2454208,-84.383137,-18000,3600,America/New_York,0.4,0
ZPL0001407,33.6772664,-117.8380285,-28800,3600,America/Los_Angeles,0.1,0
ZPL3000267,29.5319606,-98.5623411,-21600,3600,America/Chicago,0.2,0
ZPL300029L,32.7111068,-97.3654321,-21600,3600,America/Chicago,0.1,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.6,0
ZMC9139895,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.9,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.5,0
ZPL000136D,39.2460329,-84.3825207,-18000,3600,America/New_York,0.4,0
ZPL0001408,33.6771135,-117.8377754,-28800,3600,America/Los_Angeles,0.9,0
ZPL3000268,29.5319566,-98.5623369,-21600,3600,America/Chicago,0.9,0
ZPL300029L,32.7091323,-97.3651529,-21600,3600,America/Chicago,0.3,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZMC9139896,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.7,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.6,0
ZPL000136D,39.2454742,-84.3831258,-18000,3600,America/New_York,0.0,0
ZPL0001409,33.6772552,-117.8380203,-28800,3600,America/Los_Angeles,0.4,0
ZPL3000269,29.5319525,-98.5623327,-21600,3600,America/Chicago,0.1,0
ZPL300029L,32.7111053,-97.3654319,-21600,3600,America/Chicago,0.9,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.8,0
ZMC9139897,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.8,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.4,0
ZPL000136D,39.2460334,-84.3825055,-18000,3600,America/New_York,0.9,0
ZPL0001410,33.6771197,-117.8377658,-28800,3600,America/Los_Angeles,0.3,0
ZPL3000270,29.5319485,-98.5623284,-21600,3600,America/Chicago,0.5,0
ZPL300029L,32.7090912,-97.3651473,-21600,3600,America/Chicago,0.0,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.8,0
ZMC9139898,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.7,0
ZPL000136D,39.2455276,-84.3831147,-18000,3600,America/New_York,0.3,0
ZPL0001411,33.677244,-117.8380121,-28800,3600,America/Los_Angeles,0.1,0
ZPL3000271,29.5319445,-98.5623242,-21600,3600,America/Chicago,0.9,0
ZPL300029L,32.7111038,-97.3654318,-21600,3600,America/Chicago,0.2,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZMC9139899,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.2,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.4,0
ZPL000136D,39.2460339,-84.3824903,-18000,3600,America/New_York,0.5,0
ZPL0001412,33.6771242,-117.8377603,-28800,3600,America/Los_Angeles,0.1,0
ZPL3000272,29.533255,-98.562888,-21600,3600,America/Chicago,0.3,0
ZPL300029L,32.7090814,-97.3651463,-21600,3600,America/Chicago,0.6,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.8,0
ZMC9139900,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.1,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.2,0
ZPL000136D,39.245581,-84.3831035,-18000,3600,America/New_York,0.3,0
ZPL0001413,33.6772328,-117.8380038,-28800,3600,America/Los_Angeles,1.0,0
ZPL3000273,29.5319364,-98.5623157,-21600,3600,America/Chicago,0.5,0
ZPL300029L,32.7111023,-97.3654317,-21600,3600,America/Chicago,0.1,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.2,0
ZMC9139901,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.7,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.4,0
ZPL000136D,39.2460344,-84.3824751,-18000,3600,America/New_York,0.0,0
ZPL0001414,33.6771286,-117.8377548,-28800,3600,America/Los_Angeles,0.4,0
ZPL3000274,29.5326898,-98.5614291,-21600,3600,America/Chicago,0.6,0
ZPL300029L,32.7090173,-97.3651429,-21600,3600,America/Chicago,1.0,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZMC9139902,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.5,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.1,0
ZPL000136D,39.2456311,-84.3830882,-18000,3600,America/New_York,0.2,0
ZPL0001415,33.6772216,-117.8379956,-28800,3600,America/Los_Angeles,0.8,0
ZPL3000275,29.5319324,-98.5623115,-21600,3600,America/Chicago,0.2,0
ZPL300029L,32.7111007,-97.3654315,-21600,3600,America/Chicago,0.9,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.2,0
ZMC9139903,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.8,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.6,0
ZPL000136D,39.2460349,-84.3824599,-18000,3600,America/New_York,0.8,0
ZPL0001416,33.6771343,-117.8377484,-28800,3600,America/Los_Angeles,0.3,0
ZPL3000276,29.5319324,-98.5623115,-21600,3600,America/Chicago,0.9,0
ZPL300029L,32.7089532,-97.3651394,-21600,3600,America/Chicago,0.8,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.6,0
ZMC9139904,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.7,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.9,0
ZPL000136D,39.2456802,-84.3830661,-18000,3600,America/New_York,0.7,0
ZPL0001417,33.6772104,-117.8379874,-28800,3600,America/Los_Angeles,0.8,0
ZPL3000277,29.5319324,-98.5623115,-21600,3600,America/Chicago,0.6,0
ZPL300029L,32.7110992,-97.3654314,-21600,3600,America/Chicago,0.5,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.3,0
ZMC9139905,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.2,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.1,0
ZPL000136D,39.2460354,-84.3824446,-18000,3600,America/New_York,0.7,0
ZPL0001418,33.6771391,-117.8377433,-28800,3600,America/Los_Angeles,0.7,0
ZPL3000278,29.5319324,-98.5623115,-21600,3600,America/Chicago,0.6,0
ZPL300029L,32.7088892,-97.365136,-21600,3600,America/Chicago,0.8,0
ZMC913968L,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.5,0
ZMC9139906,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.8,0
ZMC913995F,29.6615085,-95.7430616,-21600,3600,America/Chicago,0.0,0
ZPL000136D,39.2457285,-84.3830346,-18000,3600,America/New_York,0.7,0
ZPL0001419,33.6771992,-117.8379792,-28800,3600,America/Los_Angeles,0.9,0
ZPL3000279,29.5319324,-98.5623115,-21600,3600,America/Chicago,0.4,0
