machineId,lat,lng,offset,hrs,location,total,ww
ZPL3066255,34.0957182,-84.176504,-18000,3600,America/New_York,140823906,75450054
ZPL306641B,34.0022348,-84.1701486,-18000,3600,America/New_York,137829659,71024381
ZPL306632D,34.0860952,-84.5436417,-18000,3600,America/New_York,136265809,71103567
ZPL306671Q,33.9486004,-84.6280726,-18000,3600,America/New_York,127221904,66714243
ZPL306638J,34.0371793,-84.5675171,-18000,3600,America/New_York,120452896,52172033
ZPL3069076,33.780171,-84.383646,-18000,3600,America/New_York,119847819,47574427
ZPL3067232,34.0423066,-84.053911,-18000,3600,America/New_York,119407262,62680902
ZPL3067315,33.3992402,-84.5957627,-18000,3600,America/New_York,119372322,65238524
ZPL3067298,34.0932454,-84.279444,-18000,3600,America/New_York,113530915,56389807
ZPL306730A,33.8225943,-84.3705695,-18000,3600,America/New_York,110945537,45805503
ZPL304357B,30.304541,-97.662034,-21600,3600,America/Chicago,109041363,98223063
ZPL3066509,34.0565298,-84.2321162,-18000,3600,America/New_York,107192051,52544874
ZPL306646M,34.237331,-84.4613646,-18000,3600,America/New_York,102825293,54682427
ZPL306849H,42.0120378,-87.7213946,-21600,3600,America/Chicago,102484564,90131732
ZPL306744J,34.0685996,-83.9814815,-18000,3600,America/New_York,101479291,51943300
ZPL3067403,33.9077391,-84.3787321,-18000,3600,America/New_York,100511836,43262387
ZPL306507M,42.0115281,-87.7642981,-21600,3600,America/Chicago,99439664,61011020
ZPL3043515,36.6313858,-95.1373765,-21600,3600,America/Chicago,97967737,91426972
ZPL306767Q,33.9291232,-84.3452423,-18000,3600,America/New_York,97251608,46629585
ZPL303648R,26.1896928,-98.1282875,-21600,3600,America/Chicago,93002377,89282347
ZPL306294D,41.2554293,-95.9305727,-21600,3600,America/Chicago,90807997,51144649
ZPL3063681,38.3149405,-85.8052341,-18000,3600,America/New_York,90743216,81742032
ZPL306792U,34.1915771,-84.128629,-18000,3600,America/New_York,89053744,47448636
ZPL306382H,40.1471235,-82.9212389,-18000,3600,America/New_York,88970207,76795783
ZPL303101B,33.4523435,-111.8961555,-25200,0,America/Phoenix,88432976,80252114
ZPL3077024,28.026705,-82.148263,-18000,3600,America/New_York,88105401,53035935
ZPL3050227,35.080653,-106.619192,-25200,3600,America/Denver,87811706,79883469
ZPL306774Y,34.0583382,-84.3810198,-18000,3600,America/New_York,87489900,42503319
ZPL303319A,26.306152,-98.189665,-21600,3600,America/Chicago,86142943,81336711
ZPL307049W,40.6380829,-112.0263652,-25200,3600,America/Denver,86106809,79700333
ZPL306664I,30.2115813,-97.7133599,-21600,3600,America/Chicago,85631818,77452688
ZPL303240B,26.1951061,-98.2895833,-21600,3600,America/Chicago,85531673,80634588
ZPL303829A,43.047052,-76.065633,-18000,3600,America/New_York,85440674,79840037
ZPL3066514,35.307879,-80.755759,-18000,3600,America/New_York,83463482,45130675
ZPL303165L,38.818906,-76.89142,-18000,3600,America/New_York,83105189,80766637
ZPL306800I,39.951421,-83.1461897,-18000,3600,America/New_York,82139424,74557519
ZPL306615C,30.256746,-82.123521,-18000,3600,America/New_York,81720011,69494069
ZPL306771D,33.9291232,-84.3452423,-18000,3600,America/New_York,81594644,36645908
ZPL3077112,35.038019,-85.156077,-18000,3600,America/New_York,81523658,41168123
ZPL306904L,41.0376388,-111.9450533,-25200,3600,America/Denver,81184537,70607045
ZPL307326M,38.7688686,-121.265904,-28800,3600,America/Los_Angeles,80433619,16976271
ZPL306631I,33.390819,-84.761853,-18000,3600,America/New_York,80270898,45912974
ZPL306703G,37.675171,-122.471374,-28800,3600,America/Los_Angeles,80052982,30383397
ZPL306778E,33.724433,-84.765024,-18000,3600,America/New_York,79928291,40893260
ZPL307406N,33.237123,-86.8193998,-21600,3600,America/Chicago,78825543,70286082
ZPL306593F,29.9757017,-90.1578079,-21600,3600,America/Chicago,78515877,73254619
ZPL306879W,44.8993504,-93.2272708,-21600,3600,America/Chicago,78449898,49299952
ZPL306378U,36.785401,-76.10769,-18000,3600,America/New_York,78212461,72458711
ZPL306741Y,37.2509609,-121.870947,-28800,3600,America/Los_Angeles,77974978,36080674
ZPL306777J,35.051497,-85.3096197,-18000,3600,America/New_York,77819786,34703314
ZPL301075P,28.3457801,-81.4197566,-18000,3600,America/New_York,77454357,71705536
ZPL306436J,42.027577,-71.22792,-18000,3600,America/New_York,77258646,67099061
ZPL306881T,44.8993504,-93.2272708,-21600,3600,America/Chicago,77009795,50307558
ZPL3067799,33.756788,-84.396479,-18000,3600,America/New_York,76985207,38914879
ZPL3064482,47.6571258,-117.2488068,-28800,3600,America/Los_Angeles,76582476,44338819
ZPL304372M,30.497692,-97.614413,-21600,3600,America/Chicago,76565420,71332547
ZPL306433Y,33.9887165,-83.8979573,-18000,3600,America/New_York,75328141,43737716
ZPL306653U,30.3578767,-97.6866223,-21600,3600,America/Chicago,75289714,62326519
ZPL306712E,37.3168177,-121.8738176,-28800,3600,America/Los_Angeles,75176584,32547549
ZPL3066756,34.0371793,-84.5675171,-18000,3600,America/New_York,74879853,34999495
ZPL307101F,33.4593253,-112.3588124,-25200,0,America/Phoenix,74594662,69200452
ZPL305478Y,35.080653,-106.619192,-25200,3600,America/Denver,74169595,69320238
ZPL304388L,30.3878732,-97.6474507,-21600,3600,America/Chicago,74084550,68713738
ZPL306462I,42.0115281,-87.7642981,-21600,3600,America/Chicago,74018714,44341434
ZPL306969Q,33.6379442,-112.0660016,-25200,0,America/Phoenix,73562172,66327966
ZPL306689F,42.4797787,-71.0217785,-18000,3600,America/New_York,73039030,66918349
ZPL3073231,36.9070444,-121.7528319,-28800,3600,America/Los_Angeles,72632716,68523160
ZPL3066761,41.7904628,-87.8685144,-21600,3600,America/Chicago,72452271,62452023
ZPL3032922,26.2301371,-98.2254918,-21600,3600,America/Chicago,72414532,67887556
ZPL306458V,41.844681,-71.418273,-18000,3600,America/New_York,72370985,68339022
ZPL3027641,34.1749755,-119.2260831,-28800,3600,America/Los_Angeles,72344398,62780265
ZPL305783D,40.777715,-73.954374,-18000,3600,America/New_York,72085620,66061321
ZPL3032917,28.368986,-81.5207269,-18000,3600,America/New_York,72081584,67725754
ZPL302926T,34.1382835,-118.3533173,-28800,3600,America/Los_Angeles,71995659,64634449
ZPL3063429,33.8476789,-84.3710518,-18000,3600,America/New_York,71826823,38885106
ZPL306823P,42.2693995,-71.0237491,-18000,3600,America/New_York,71705150,66225233
ZPL307724G,37.3184125,-89.5248795,-21600,3600,America/Chicago,71527237,67616500
ZPL306896X,33.7746586,-117.8529317,-28800,3600,America/Los_Angeles,71492689,65073222
