lat,lng,total
6,159,0.008
30,99,0.007
45,-109,0.007
42,115,0.006
4,-54,0.004
-16,-67,0.002
21,-103,0.005
-20,-64,0.007
-40,-69,0.006
32,64,0.006
28,67,0.006
8,22,0.008
-15,133,0.006
-16,20,0.005
55,42,0.005
32,-81,0.004
31,36,0.002
9,80,0.007
42,-91,0.007
19,54,0.002
21,111,0.001
-3,-51,0.004
33,119,0.008
65,21,0.01
46,49,0.002
43,77,0.006
45,130,0.009
4,119,0.003
22,59,0.01
9,-82,0.002
46,-60,0.006
-14,15,0.01
-15,-76,0.004
57,15,0.01
52,9,0.007
10,120,0.01
24,87,0.002
0,-51,0.005
-5,123,0.002
-24,-53,0.006
-28,-58,0.009
43,0,0.0
24,70,0.003
-9,33,0.004
20,73,0.003
13,104,0.003
43,41,0.008
23,78,0.001
20,-72,0.009
38,-4,0.005
0,-77,0.006
-9,-35,0.005
25,109,0.008
-13,34,0.005
61,18,0.005
58,40,0.001
34,50,0.002
49,88,0.001
48,-99,0.002
-42,176,0.003
20,86,0.005
-18,30,0.003
53,44,0.008
29,18,0.004
5,16,0.004
49,-74,0.0
48,131,0.002
14,121,0.004
63,19,0.007
40,54,0.002
36,57,0.008
16,52,0.003
50,128,0.003
39,30,0.009
54,12,0.005
16,-61,0.001
27,80,0.004
29,101,0.007
14,78,0.002
7,13,0.008
41,125,0.002
-17,23,0.002
54,27,0.001
30,29,0.008
41,142,0.004
12,124,0.004
41,43,0.005
18,98,0.0
36,117,0.002
17,33,0.009
32,109,0.009
-7,23,0.005
27,-101,0.002
45,-73,0.009
21,-83,0.002
55,-131,0.003
52,105,0.001
-40,-65,0.003
32,36,0.002
31,7,0.008
32,-109,0.005
31,120,0.009
9,124,0.004
46,-2,0.009
-2,-50,0.009
18,-13,0.0
42,28,0.008
4,99,0.004
19,-77,0.005
18,38,0.0
33,4,0.009
-5,-75,0.01
-14,51,0.01
-15,-48,0.002
57,-5,0.005
52,37,0.007
13,38,0.002
-10,-41,0.008
-11,36,0.007
-18,-71,0.005
-20,27,0.006
56,89,0.0
33,-94,0.004
44,15,0.009
43,-4,0.007
20,37,0.002
-4,27,0.004
47,8,0.008
44,-98,0.009
23,114,0.007
38,24,0.009
14,10,0.009
