machineId,lat,lng,boo,foo,location,total
ZPL3066255,34.0957182,-84.176504,-18000,3600,America/New_York,140823906
ZPL306641B,34.0022348,-84.1701486,-18000,3600,America/New_York,137829659
ZPL306632D,34.0860952,-84.5436417,-18000,3600,America/New_York,136265809
ZPL306671Q,33.9486004,-84.6280726,-18000,3600,America/New_York,127221904
ZPL306638J,34.0371793,-84.5675171,-18000,3600,America/New_York,120452896
ZPL3069076,33.780171,-84.383646,-18000,3600,America/New_York,119847819
ZPL3067232,34.0423066,-84.053911,-18000,3600,America/New_York,119407262
ZPL3067315,33.3992402,-84.5957627,-18000,3600,America/New_York,119372322
ZPL3067298,34.0932454,-84.279444,-18000,3600,America/New_York,113530915
ZPL306730A,33.8225943,-84.3705695,-18000,3600,America/New_York,110945537
ZPL304357B,30.304541,-97.662034,-21600,3600,America/Chicago,109041363
ZPL3066509,34.0565298,-84.2321162,-18000,3600,America/New_York,107192051
ZPL306646M,34.237331,-84.4613646,-18000,3600,America/New_York,102825293
ZPL306849H,42.0120378,-87.7213946,-21600,3600,America/Chicago,102484564
ZPL306744J,34.0685996,-83.9814815,-18000,3600,America/New_York,101479291
ZPL3067403,33.9077391,-84.3787321,-18000,3600,America/New_York,100511836
ZPL306507M,42.0115281,-87.7642981,-21600,3600,America/Chicago,99439664
ZPL3043515,36.6313858,-95.1373765,-21600,3600,America/Chicago,97967737
ZPL306767Q,33.9291232,-84.3452423,-18000,3600,America/New_York,97251608
ZPL303648R,26.1896928,-98.1282875,-21600,3600,America/Chicago,93002377
ZPL306294D,41.2554293,-95.9305727,-21600,3600,America/Chicago,90807997
ZPL3063681,38.3149405,-85.8052341,-18000,3600,America/New_York,90743216
ZPL306792U,34.1915771,-84.128629,-18000,3600,America/New_York,89053744
ZPL306382H,40.1471235,-82.9212389,-18000,3600,America/New_York,88970207
ZPL303101B,33.4523435,-111.8961555,-25200,0,America/Phoenix,88432976
ZPL3077024,28.026705,-82.148263,-18000,3600,America/New_York,88105401
ZPL3050227,35.080653,-106.619192,-25200,3600,America/Denver,87811706
ZPL306774Y,34.0583382,-84.3810198,-18000,3600,America/New_York,87489900
ZPL303319A,26.306152,-98.189665,-21600,3600,America/Chicago,86142943
ZPL307049W,40.6380829,-112.0263652,-25200,3600,America/Denver,86106809
ZPL306664I,30.2115813,-97.7133599,-21600,3600,America/Chicago,85631818
ZPL303240B,26.1951061,-98.2895833,-21600,3600,America/Chicago,85531673
ZPL303829A,43.047052,-76.065633,-18000,3600,America/New_York,85440674
ZPL3066514,35.307879,-80.755759,-18000,3600,America/New_York,83463482
ZPL303165L,38.818906,-76.89142,-18000,3600,America/New_York,83105189
ZPL306800I,39.951421,-83.1461897,-18000,3600,America/New_York,82139424
ZPL306615C,30.256746,-82.123521,-18000,3600,America/New_York,81720011
ZPL306771D,33.9291232,-84.3452423,-18000,3600,America/New_York,81594644
ZPL3077112,35.038019,-85.156077,-18000,3600,America/New_York,81523658
ZPL306904L,41.0376388,-111.9450533,-25200,3600,America/Denver,81184537
ZPL307326M,38.7688686,-121.265904,-28800,3600,America/Los_Angeles,80433619
ZPL306631I,33.390819,-84.761853,-18000,3600,America/New_York,80270898
ZPL306703G,37.675171,-122.471374,-28800,3600,America/Los_Angeles,80052982
ZPL306778E,33.724433,-84.765024,-18000,3600,America/New_York,79928291
ZPL307406N,33.237123,-86.8193998,-21600,3600,America/Chicago,78825543
ZPL306593F,29.9757017,-90.1578079,-21600,3600,America/Chicago,78515877
ZPL306879W,44.8993504,-93.2272708,-21600,3600,America/Chicago,78449898
ZPL306378U,36.785401,-76.10769,-18000,3600,America/New_York,78212461
ZPL306741Y,37.2509609,-121.870947,-28800,3600,America/Los_Angeles,77974978
ZPL306777J,35.051497,-85.3096197,-18000,3600,America/New_York,77819786
